   89.000000 -179.000000     13.408
   90.000000 -179.000000     14.899
  -90.000000 -178.000000    -30.150
  -89.000000 -178.000000    -30.043
  -88.000000 -178.000000    -29.049
  -87.000000 -178.000000    -30.378
  -86.000000 -178.000000    -31.366
  -85.000000 -178.000000    -35.598
  -84.000000 -178.000000    -42.854
  -83.000000 -178.000000    -46.637
  -82.000000 -178.000000    -48.360
  -81.000000 -178.000000    -50.560
  -80.000000 -178.000000    -52.619
  -79.000000 -178.000000    -54.471
  -78.000000 -178.000000    -57.016
  -77.000000 -178.000000    -58.312
  -76.000000 -178.000000    -59.885
  -75.000000 -178.000000    -61.454
  -74.000000 -178.000000    -62.798
  -73.000000 -178.000000    -62.175
  -72.000000 -178.000000    -61.644
  -71.000000 -178.000000    -62.220
  -70.000000 -178.000000    -63.675
  -69.000000 -178.000000    -61.753
  -68.000000 -178.000000    -60.232
  -67.000000 -178.000000    -58.688
  -66.000000 -178.000000    -53.270
  -65.000000 -178.000000    -51.373
  -64.000000 -178.000000    -50.221
  -63.000000 -178.000000    -49.402
  -62.000000 -178.000000    -48.484
  -61.000000 -178.000000    -47.143
  -60.000000 -178.000000    -45.927
  -59.000000 -178.000000    -44.544
  -58.000000 -178.000000    -42.460
  -57.000000 -178.000000    -39.971
  -56.000000 -178.000000    -37.500
  -55.000000 -178.000000    -34.800
  -54.000000 -178.000000    -31.635
  -53.000000 -178.000000    -28.606
  -52.000000 -178.000000    -25.238
  -51.000000 -178.000000    -20.880
  -50.000000 -178.000000    -16.430
  -49.000000 -178.000000    -13.738
  -48.000000 -178.000000    -10.887
  -47.000000 -178.000000     -7.958
  -46.000000 -178.000000     -3.422
  -45.000000 -178.000000      2.899
  -44.000000 -178.000000      9.386
  -43.000000 -178.000000     12.408
  -42.000000 -178.000000     13.782
  -41.000000 -178.000000     16.695
  -40.000000 -178.000000     18.646
  -39.000000 -178.000000     20.692
  -38.000000 -178.000000     23.059
  -37.000000 -178.000000     23.266
  -36.000000 -178.000000     21.712
  -35.000000 -178.000000     20.147
  -34.000000 -178.000000     17.683
  -33.000000 -178.000000     18.550
  -32.000000 -178.000000     23.960
  -31.000000 -178.000000     32.664
  -30.000000 -178.000000     39.853
  -29.000000 -178.000000     45.741
  -28.000000 -178.000000     47.548
  -27.000000 -178.000000     49.143
  -26.000000 -178.000000     49.893
  -25.000000 -178.000000     51.318
  -24.000000 -178.000000     51.684
  -23.000000 -178.000000     51.837
  -22.000000 -178.000000     52.221
  -21.000000 -178.000000     52.103
  -20.000000 -178.000000     51.589
  -19.000000 -178.000000     50.560
  -18.000000 -178.000000     49.615
  -17.000000 -178.000000     48.750
  -16.000000 -178.000000     47.667
  -15.000000 -178.000000     46.664
  -14.000000 -178.000000     44.810
  -13.000000 -178.000000     40.584
  -12.000000 -178.000000     38.010
  -11.000000 -178.000000     33.943
  -10.000000 -178.000000     31.406
   -9.000000 -178.000000     28.723
   -8.000000 -178.000000     26.429
   -7.000000 -178.000000     23.880
   -6.000000 -178.000000     22.540
   -5.000000 -178.000000     21.595
   -4.000000 -178.000000     20.757
   -3.000000 -178.000000     20.282
   -2.000000 -178.000000     19.878
   -1.000000 -178.000000     20.433
    0.000000 -178.000000     20.018
    1.000000 -178.000000     19.401
    2.000000 -178.000000     18.886
    3.000000 -178.000000     17.971
    4.000000 -178.000000     16.260
    5.000000 -178.000000     15.834
    6.000000 -178.000000     16.195
    7.000000 -178.000000     14.842
    8.000000 -178.000000     13.702
    9.000000 -178.000000     12.889
   10.000000 -178.000000     12.134
   11.000000 -178.000000     11.247
   12.000000 -178.000000     11.064
   13.000000 -178.000000     10.984
   14.000000 -178.000000      9.786
   15.000000 -178.000000      8.438
   16.000000 -178.000000      7.528
   17.000000 -178.000000      5.926
   18.000000 -178.000000      5.823
   19.000000 -178.000000      5.436
   20.000000 -178.000000      4.410
   21.000000 -178.000000      2.062
   22.000000 -178.000000      1.004
   23.000000 -178.000000     -0.339
   24.000000 -178.000000     -0.382
   25.000000 -178.000000     -1.087
   26.000000 -178.000000     -2.633
   27.000000 -178.000000     -3.536
   28.000000 -178.000000      0.947
   29.000000 -178.000000     -4.615
   30.000000 -178.000000     -8.025
   31.000000 -178.000000     -8.316
   32.000000 -178.000000     -9.073
